License No,Agency Name,Name of the Proprietor,Status,License Eeffective Date,License Renew Date,License Exp Date,Division,District,Thana
0006350,"New Jubayer Travels","MD.RAFIQUL ISLAM JUBAYER","License expired","20-Jun-2017","01-Jan-2017","31-Dec-2019",,,
0006254,"Saimon Overseas Ltd","M,A MUHAIMIN SALEH","License expired","27-Dec-2017",,"16-Dec-2020",,,
0000843,"Air Exibition Ltd","MD KHALEKUZZAMAN","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0006393,"Safe Travels and Tours","Mst.Khadija Begum","License expired","01-Jan-2017","01-Jan-1970","31-Dec-2019",,,
0005437,"Amin Trade International","HANIFUL ISLAM","License expired","01-Jan-2017","01-Jan-2017","17-Sep-2019",,,
0005440,"Air Bangla Holidays Ltd","M. A. Hannan Sarker","License expired","18-Sep-2017","01-Jan-2017","17-Sep-2020",,,
0005481,"Al Mamun Hajj and Tourism","MD ABDULLAH AL MAMUN","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0005483,"Ayon Tours and Travels","MD ALAMGIR HOSSAIN","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0006741,"Al Rafi International","AKTER HOSSAIN MOHIN","License expired","27-Apr-2016","01-Jan-1970","25-Apr-2019",,,
0006725,"Air Meridian ","RAID HOSSAIN","License expired","09-Feb-2016",,"07-Feb-2019",,,
0006397,"S M Free Amanillah Travels & Tours","ABDUL KADER SAGOR","License expired","01-Jan-2019","01-Jan-2019","31-Jan-2019",,,
0007343,"New Marhaba Tours & Travels","Mosharraf Hossain","License expired","13-Nov-2017","13-Nov-2017","12-Nov-2020",,,
0009219,"Noor Madina Travels and Tourist","MOHAMMAD SALEH AHMED","License expired","31-Aug-2016","01-Jan-1970","30-Dec-2019",,,
0009222,"Sunrise Travels","Mohammad Jashim Uddin","License expired","03-Oct-2016",,"02-Oct-2019",,,
0009223,"Nibras Travels & Tours","AHMED BELAL","License expired","03-Oct-2016",,"02-Oct-2019",,,
0009242,"Shah Pari Travels","MD.ATAUL KARIM","License expired","17-Nov-2016","17-Nov-2016","16-Nov-2019",,,
0000742,"Arrow Wage Limited","ROKSANA BEGUM","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0009236,"Nongor Travel & Tourism","A,B AHAD","License expired","15-Nov-2016",,"14-Nov-2019",,,
0009238,"Promi Overseas","Mohammad Kaise","License expired","17-Nov-2017","17-Nov-2017","16-Nov-2019",,,
0007004,"Air Holiday ","Md.Ibrahim Khalil","License expired","03-Jul-2017",,"02-Jul-2020",,,
0002789,"Al-Aksa Tour & Travels","HADAYET HASSAN","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0007006,"A.R.C Tours and Travels ","Atikur Rahman Chowdhury","License expired","03-Jul-2017",,"02-Jul-2020",,,
0007008,"Alham Travel Agency","Mir Md.Towfik Rahman","License expired","03-Jul-2017","01-Jan-2017","02-Jul-2020",,,
0000832,"Ashraf Air Travels International","MR. MD.NURU UDDIN","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000822,"Air Trade Limited","Sheikh Golam Jilani","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000821,"Air Wave International Travels","Md. Neamat Ullah","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000792,"Air Mission International","SAJJADUR RAHMAN ","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0007011,"Al Islah International Travels ","Sana Ullah","License expired","18-Jul-2017",,"17-Jul-2020",,,
0007013,"Air Explore ","Dr. Mir Anisuzzaman","License expired","18-Jul-2017",,"17-Jul-2020",,,
0006609,"Pinnacle Travels Ltd.","md mohtab hossain","License expired","01-Jan-2017","11-Oct-2017","31-Dec-2019",,,
0006712,"A B One Travels and Tours","BADAL HOSEN NARAD","License expired","01-Jan-2016",,"01-Jan-2019",,,
0006735,"Air Point Travels and Tours","MD FARHAD HOSEN","License expired","23-Mar-2016",,"22-Mar-2019",,,
0006631,"New Dream Wav Tour and Travels","md atiqul haque","License expired","27-Oct-2017","27-Oct-2017","26-Oct-2019",,,
0006641,"Noorany Travels & Tours","Jannatul Ferdaus","License expired","05-Jan-2017","05-Jan-2017","04-Jan-2020",,,
0006669,"New Jowar Al Habib Travels","Kausar Ahmed","License expired","09-Aug-2017","09-Aug-2017","08-Aug-2020",,,
0003554,"Jahanara Travels and Tours","Mostaq Ahmad","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0003608,"Jet Pack Travels Limited","MD.RAFIQUL ISLAM","License expired","13-Feb-2018","13-Feb-2018","04-Jan-2021",,,
0006722," Amin Trade International","MD NURUL AMIN","License expired","09-Feb-2016",,"07-Feb-2019",,,
